Modul-Nr.,Modul-Name,Inhalt,Description
1,Das Web verstehen: HTML im Gesamtbild,Geschichte des World Wide Web - Entwicklung seit 1989 - Die Rolle des W3C - WHATWG und HTML Living Standard - Browserkriege und Standardisierung | Wie das Internet funktioniert - Client-Server-Modell - HTTP-Anfrage und Antwort - IP-Adressen und DNS - Rolle von Browsern | HTML als Auszeichnungssprache - Struktur vs. Darstellung - Hypertext-Konzept - Tags und Attribute - Syntax-Grundlagen | Das Zusammenspiel der Technologien - HTML für Struktur - CSS für Präsentation - JavaScript für Interaktion - Browser-Rendering-Engine | Webstandards und Best Practices - Validität und Konformität - Progressive Enhancement - Graceful Degradation - Barrierefreiheit als Grundprinzip,"Dieses Modul legt das Fundament für das Verständnis von HTML im Kontext des World Wide Web. Es beleuchtet die historische Entwicklung, die technischen Grundlagen der Webkommunikation und die Rolle von HTML als strukturgebende Sprache im Zusammenspiel mit CSS und JavaScript."
2,Arbeitsumgebung für modernes HTML,Editor und Entwicklungsumgebung - Auswahl eines Code-Editors - Installation und Konfiguration - Wichtige Plugins und Erweiterungen - Syntax-Highlighting und Autocomplete | Browser-Entwicklertools - Inspektor und Element-Untersuchung - Konsole für Fehleranalyse - Netzwerk-Tab verstehen - Responsive-Design-Modus nutzen | Lokaler Entwicklungsserver - Notwendigkeit eines lokalen Servers - Einrichtung mit Node.js oder Python - Live-Reloading und Hot Module Replacement - Umgang mit Pfaden und URLs | Versionskontrolle mit Git - Grundlagen von Git und GitHub - Commits und Branches - Zusammenarbeit im Team - Best Practices für HTML-Projekte | Kommandozeilen-Basics - Navigation im Terminal - Grundlegende Befehle - npm und Paketmanagement - Automatisierung von Aufgaben,Hier richten wir eine professionelle Arbeitsumgebung für die HTML-Entwicklung ein. Von der Wahl des richtigen Editors über den effektiven Einsatz von Browser-Entwicklertools bis hin zur Nutzung von Versionskontrolle und Kommandozeilen-Tools wird der Grundstein für effizientes Arbeiten gelegt.
3,"Dokumentstruktur: Doctype, html, head, body",Der HTML5-Doctype - Bedeutung und Funktion - Unterschiede zu älteren Versionen - Standard-Modus vs. Quirks-Modus - Korrekte Syntax | Das HTML-Wurzelelement - Aufbau des html-Tags - Das lang-Attribut und seine Bedeutung - Namespace-Definitionen - Verschachtelung von Elementen | Der Head-Bereich - Funktion und Inhalt des head - Titel der Seite - Meta-Tags für Charset und Viewport - Einbindung von externen Ressourcen | Der Body-Bereich - Sichtbarer Inhalt der Seite - Strukturierung des Inhalts - Semantische Abschnitte - Trennung von Inhalt und Metadaten | Kommentare und Whitespace - Einsatz von Kommentaren - Bedeutung von Leerzeichen und Zeilenumbrüchen - Lesbarkeit des Codes - Best Practices für Code-Dokumentation,"Dieses Modul behandelt die grundlegende Struktur eines HTML-Dokuments. Wir analysieren den Aufbau von Doctype, html, head und body und lernen, wie diese Elemente zusammenwirken, um eine valide und semantisch korrekte Webseite zu erstellen."
4,"Textsemantik: Überschriften, Absätze und Hervorhebungen",Überschriften-Hierarchie - Bedeutung von h1 bis h6 - Semantische Strukturierung - SEO-Relevanz von Überschriften - Vermeidung von Lücken in der Hierarchie | Absätze und Textblöcke - Das p-Element - Zeilenumbrüche mit br - Thematische Trennung mit hr - Präformatierter Text mit pre | Textauszeichnung und Bedeutung - Fett vs. wichtig (b vs. strong) - Kursiv vs. betont (i vs. em) - Markierungen mit mark - Unterstreichungen und Durchstreichungen | Zitate und Quellenangaben - Blockquotes für lange Zitate - Inline-Zitate mit q - Quellenangabe mit cite - Semantische Bedeutung von Zitaten | Listen und Aufzählungen - Ungeordnete Listen (ul) - Geordnete Listen (ol) - Definitionslisten (dl) - Verschachtelung von Listen,"Text ist das Herzstück des Webs. In diesem Modul lernen wir, Text semantisch korrekt zu strukturieren. Wir unterscheiden zwischen bloßer Formatierung und echter Bedeutung bei Überschriften, Absätzen und Hervorhebungen."
5,"Links, Pfade und Navigation","Der Anker-Tag - Syntax des a-Elements - Das href-Attribut - Linktexte und Barrierefreiheit - Titel-Attribut und Tooltips | Pfade und URLs - Absolute vs. relative Pfade - Protokolle (http, https, mailto) - Anker-Links innerhalb einer Seite - Verlinkung auf Dateien und Downloads | Link-Ziele und Verhalten - Öffnen in neuem Tab (target_blank) - Sicherheitsaspekte (rel_noopener) - Download-Attribute - Verlinkung von Telefonnummern | Navigationselemente - Semantisches nav-Element - Erstellung von Menüs - Breadcrumb-Navigation - Pagination und Blättern | Link-Status und Pseudo-Klassen - Besuchte vs. unbesuchte Links - Hover- und Focus-Zustände - Active-Status - Gestaltung von Links mit CSS","Links sind das verbindende Element des Webs. Wir untersuchen die verschiedenen Arten von Hyperlinks, verstehen Pfadstrukturen und lernen, wie man benutzerfreundliche und barrierefreie Navigationen aufbaut."
6,"Bilder, Medien und responsive Einbindung","Bilder im Web - Das img-Element - Wichtige Attribute (src, alt) - Bildformate (JPG, PNG, WebP, SVG) - Optimierung von Dateigrößen | Responsive Bilder - Das picture-Element - Das srcset-Attribut - Art Direction vs. Resolution Switching - Sizes-Attribut und Breakpoints | Vektorgrafiken mit SVG - Einbindung von SVG - Vorteile von Vektorgrafiken - Inline-SVG vs. externe Datei - Styling und Animation von SVG | Audio und Video - Das audio-Element - Das video-Element - Codecs und Formate - Untertitel und Captions (track) | Figuren und Beschriftungen - Das figure-Element - Das figcaption-Element - Semantische Verknüpfung von Bild und Text - Anwendungsfälle für figure","Ein Bild sagt mehr als tausend Worte. Dieses Modul widmet sich der Einbindung von Medien. Wir behandeln responsive Bilder, Vektorgrafiken sowie Audio- und Videoinhalte und deren semantisch korrekte Auszeichnung."
7,"Listen, Zitate und strukturierende Elemente",Listen-Typen im Detail - Ungeordnete Listen (ul) für Aufzählungen - Geordnete Listen (ol) für Abläufe - Definitionslisten (dl) für Glossare - Verschachtelung und komplexe Strukturen | Zitate und Referenzen - Das blockquote-Element für lange Zitate - Das q-Element für Inline-Zitate - Das cite-Element für Quellenangaben - Semantische Bedeutung und Screenreader-Support | Strukturierende Elemente - Das div-Element als Container - Das span-Element für Inline-Styling - Semantische vs. nicht-semantische Elemente - Wann div und span vermeiden | Adressen und Kontaktinformationen - Das address-Element - Semantische Bedeutung für Kontaktinfos - Abgrenzung zu bloßen Ortsangaben - Verknüpfung mit footer | Zeit und Datum - Das time-Element - Maschinenlesbare Zeitangaben - Datumsformate (ISO 8601) - Anwendungsfälle für Kalender und Events,"Struktur ist essenziell für lesbare Inhalte. Wir vertiefen unser Wissen über Listen und Zitate und lernen weitere Elemente kennen, die helfen, Inhalte logisch zu gruppieren und semantisch anzureichern."
8,Tabellen korrekt und barrierearm einsetzen,"Grundlagen von Tabellen - Das table-Element - Zeilen (tr) und Zellen (td) - Kopfzellen (th) und ihre Bedeutung - caption für Tabellenüberschriften | Strukturierung von Tabellen - thead, tbody und tfoot - Gruppierung von Zeilen - Semantische Gliederung komplexer Daten - Styling-Hooks für CSS | Verbinden von Zellen - colspan für Spaltenverbindung - rowspan für Zeilenverbindung - Herausforderungen bei komplexen Layouts - Vermeidung von Layout-Tabellen | Barrierefreiheit in Tabellen - scope-Attribut für th - headers- und id-Attribute - Zusammenfassungen und Beschreibungen - Screenreader-Optimierung | Responsive Tabellen - Herausforderungen auf kleinen Screens - Scrollbare Container - Transformation von Tabellen - Best Practices für mobile Darstellung","Tabellen sind mächtig, aber oft missverstanden. Wir lernen, wie man Tabellen für tabellarische Daten korrekt einsetzt, sie strukturiert und dabei sicherstellt, dass sie auch für Nutzer assistiver Technologien zugänglich bleiben."
9,Formulare: Grundlagen und Eingabetypen,"Das Formular-Element - Aufbau mit form - Action und Method (GET vs. POST) - Enctype für Datei-Uploads - Autocomplete und Novalidate | Text-Eingabefelder - Input type text - Password und hidden - Search, tel, url und email - Attribute wie placeholder und maxlength | Auswahl-Elemente - Checkboxen für Mehrfachauswahl - Radio-Buttons für Einzelauswahl - Select und Option für Dropdowns - Optgroup für Gruppierung | Textbereiche und Buttons - Das textarea-Element - Button-Typen (submit, reset, button) - Input type button vs. button-Element - Gestaltung und Verhalten | Labels und Verknüpfung - Das label-Element - Implizite vs. explizite Verknüpfung - Bedeutung für Screenreader - Klickbare Bereiche vergrößern","Interaktion beginnt mit Formularen. In diesem Modul erkunden wir die Grundlagen von HTML-Formularen, lernen verschiedene Eingabetypen kennen und verstehen, wie man Formulare benutzerfreundlich gestaltet."
10,"Formulare: Validierung, UX und Fehlermeldungen","Client-seitige Validierung - HTML5-Validierungsattribute - Required, pattern, min/max - Validierung von E-Mail und URL - Custom-Validierungsmeldungen | Benutzerfreundlichkeit (UX) - Fokus-Management - Tab-Reihenfolge (tabindex) - Visuelles Feedback bei Fehlern - Platzhalter vs. Labels | Fehlermeldungen und Feedback - Barrierefreie Fehlermeldungen - Live-Validierung vs. Submit-Validierung - Styling von validen/invaliden Feldern - ARIA-Live-Regionen für Feedback | Fortgeschrittene Eingabetypen - Date, time und datetime-local - Number und range - Color-Picker - File-Upload und multiple Files | Sicherheit in Formularen - Schutz vor Cross-Site-Scripting (XSS) - Cross-Site-Request-Forgery (CSRF) - Captchas und Alternativen - Sichere Übertragung mit HTTPS","Gute Formulare sind valide und sicher. Wir vertiefen das Thema Formulare mit einem Fokus auf Validierung, User Experience und Sicherheit, um Frustration bei Nutzern zu vermeiden und Daten korrekt zu verarbeiten."
